type,features__type,features__geometry__type,x,y,features__geometry__coordinates__003,features__geometry__coordinates__004,features__properties__OBJECTID,features__properties__BLOCKNAME,Rotation1,total,Rotation2
,Feature,Point,475148.7319,5365582.365,0,-1.79769313486232E+308,164,VOL3NUM,1.531575415,0,87.7528
,Feature,Point,471926.2535,5366072.352,0,-1.79769313486232E+308,165,VOLEFT,1.105635117,2123,63.3482
,Feature,Point,471991.0974,5366143.491,0,-1.79769313486232E+308,166,VOLRIGHT,1.117084328,1250,64.0042
,Feature,Point,471821.8634,5366147.296,0,-1.79769313486232E+308,167,VOLEFT,5.651373284,9160,323.8
,Feature,Point,471899.0235,5366045.298,0,-1.79769313486232E+308,168,VOLRIGHT,5.659523163,9883,324.267
,Feature,Point,471865.602,5365954.166,0,-1.79769313486232E+308,169,VOL3NUM,1.092149885,0,62.5756
,Feature,Point,473685.1233,5363315.641,0,-1.79769313486232E+308,170,VOL4NUM,6.125033014,0,350.939
,Feature,Point,474589.0902,5364818.181,0,-1.79769313486232E+308,171,VOLRIGHT,6.262953988,1265,358.841
,Feature,Point,474502.1783,5364870.033,0,-1.79769313486232E+308,172,VOLEFT,6.261568846,809,358.761
,Feature,Point,476042.6098,5362920.246,0,-1.79769313486232E+308,173,VOLRIGHT,0.938483415,1905,53.7711
,Feature,Point,475934.6893,5362861.929,0,-1.79769313486232E+308,174,VOLEFT,0.879443913,1895,50.3884
,Feature,Point,474437.5472,5365180.867,0,-1.79769313486232E+308,175,VOLEFT,1.212187841,2499,69.4532
,Feature,Point,474514.9275,5365262.21,0,-1.79769313486232E+308,176,VOLRIGHT,1.61501349,2310,92.5335
,Feature,Point,475275.7397,5363982.428,0,-1.79769313486232E+308,177,VOLRIGHT,5.372397175,1186,307.816
,Feature,Point,475246.6905,5364095.542,0,-1.79769313486232E+308,178,VOLEFT,5.396587841,1018,309.202
,Feature,Point,475510.3266,5362904.759,0,-1.79769313486232E+308,179,VOL4NUM,5.811080968,0,332.95
,Feature,Point,474322.3094,5364587.425,0,-1.79769313486232E+308,180,VOLEFT,6.204473725,238,355.49
,Feature,Point,474425.6891,5364538.094,0,-1.79769313486232E+308,181,VOLRIGHT,6.25600599,262,358.443
,Feature,Point,475403.4882,5365502.745,0,-1.79769313486232E+308,182,VOLEFT,6.254817855,338,358.375
,Feature,Point,475498.8608,5365455.32,0,-1.79769313486232E+308,183,VOLRIGHT,6.252061695,302,358.217
,Feature,Point,475701.4675,5363419.877,0,-1.79769313486232E+308,184,VOLRIGHT,1.592984687,73,91.2713
,Feature,Point,475649.7455,5363321.671,0,-1.79769313486232E+308,185,VOLEFT,1.621248473,85,92.8907
,Feature,Point,475997.7181,5362947.458,0,-1.79769313486232E+308,186,VOLRIGHT,5.479915261,213,313.976
,Feature,Point,475962.1015,5363032.539,0,-1.79769313486232E+308,187,VOLEFT,5.571800489,249,319.241
,Feature,Point,471800.6389,5363022.848,0,-1.79769313486232E+308,188,VOLEFT,0.929767871,379,53.2718
,Feature,Point,471905.4972,5363086.704,0,-1.79769313486232E+308,189,VOLRIGHT,0.931373437,496,53.3638
,Feature,Point,475889.2807,5364387.166,0,-1.79769313486232E+308,190,VOLEFT,1.570779388,1821,89.999
,Feature,Point,474193.2108,5365390.592,0,-1.79769313486232E+308,191,VOLEFT,0.202988859,9994,11.6304
,Feature,Point,474322.6023,5365366.992,0,-1.79769313486232E+308,192,VOLRIGHT,0.205655564,9173,11.7832
,Feature,Point,473951.6098,5365277.052,0,-1.79769313486232E+308,193,VOLRIGHT,0.181742081,9468,10.4131
,Feature,Point,473831.1014,5365307.226,0,-1.79769313486232E+308,194,VOLEFT,0.181907729,10630,10.4225
,Feature,Point,475324.6008,5363040.242,0,-1.79769313486232E+308,195,VOL4NUM,5.74055116,0,328.909
,Feature,Point,471032.781,5364438.664,0,-1.79769313486232E+308,196,VOLRIGHT,6.137732379,3415,351.666
,Feature,Point,470972.0693,5364490.047,0,-1.79769313486232E+308,197,VOLEFT,6.141492898,3009,351.882
,Feature,Point,471140.3713,5365331.484,0,-1.79769313486232E+308,198,VOL4NUM,5.446465614,0,312.059
,Feature,Point,475237.3134,5363249.976,0,-1.79769313486232E+308,199,VOL4NUM,1.087396787,0,62.3032
,Feature,Point,475518.6996,5362535.116,0,-1.79769313486232E+308,200,VOLRIGHT,5.009625107,1596,287.03
,Feature,Point,475526.7585,5362658.292,0,-1.79769313486232E+308,201,VOLEFT,5.011060587,1493,287.113
,Feature,Point,472900.3539,5366049.65,0,-1.79769313486232E+308,202,VOLRIGHT,4.913458106,185,281.52
,Feature,Point,472925.4931,5366160.744,0,-1.79769313486232E+308,203,VOLEFT,4.884913931,127,279.885
,Feature,Point,474275.0207,5364498.115,0,-1.79769313486232E+308,204,VOLRIGHT,6.197358518,181,355.082
,Feature,Point,474171.2505,5364555.567,0,-1.79769313486232E+308,205,VOLEFT,6.161813486,92,353.046
,Feature,Point,474878.4679,5365473.362,0,-1.79769313486232E+308,206,VOLRIGHT,0.543461943,79,31.1381
,Feature,Point,474759.1581,5365463.359,0,-1.79769313486232E+308,207,VOLEFT,0.535113217,124,30.6597
,Feature,Point,471148.3361,5364692.808,0,-1.79769313486232E+308,208,VOLRIGHT,6.26854604,335,359.161
,Feature,Point,471081.44,5364735.833,0,-1.79769313486232E+308,209,VOLEFT,6.272306559,329,359.377
,Feature,Point,475884.1184,5363280.918,0,-1.79769313486232E+308,210,VOLRIGHT,1.592984688,86,91.2713
,Feature,Point,475845.9623,5363175.387,0,-1.79769313486232E+308,211,VOLEFT,1.621248474,71,92.8907
,Feature,Point,475784.9352,5363451.726,0,-1.79769313486232E+308,212,VOLRIGHT,1.592984687,84,91.2713
,Feature,Point,475746.7791,5363346.195,0,-1.79769313486232E+308,213,VOLEFT,1.621248473,87,92.8907
,Feature,Point,475028.873,5364934.659,0,-1.79769313486232E+308,214,VOL3NUM,1.553326089,0,88.999
,Feature,Point,474923.9984,5365248.201,0,-1.79769313486232E+308,215,VOL3NUM,6.255297627,0,358.402
,Feature,Point,473406.8102,5364897.228,0,-1.79769313486232E+308,216,VOLRIGHT,1.734613953,783,99.3861
,Feature,Point,473375.5028,5364804.273,0,-1.79769313486232E+308,217,VOLEFT,1.752122446,407,100.389
,Feature,Point,473555.4696,5363082.592,0,-1.79769313486232E+308,218,VOLRIGHT,1.432336217,3125,82.0668
,Feature,Point,473482.2662,5362985.947,0,-1.79769313486232E+308,219,VOLEFT,1.400888547,2619,80.265
,Feature,Point,471724.4899,5362949.29,0,-1.79769313486232E+308,220,VOLRIGHT,5.639991234,528,323.148
